Year;Consumer Films;Consumer Bags;Consumer Bottles;Other Consumer Packaging;Non Consumer Bags;Other Non Consumer Films;Other Non Consumer Packaging;Pipes and Ducts;Insulation;Wall and Floor Coverings;Windows, Profiles and Fitted Furniture;Lining;Building Packaging Films;Building Textiles;Geotextiles;Agricultural Packaging Films;Agricultural Packaging Bottles;Agricultural Films;Agricultural Pipes;Other Agricultural Plastics;Agrotextiles;Automotive;Mobility Textiles;Electrical and Electronic Equipment;Household Plastics;Furniture;Personal Care and Cosmetic Products;Other Plastic Products;Hygiene and Medical Textiles;Clothing;Technical Clothing;Household Textiles;Technical Household Textiles;Fabric Coatings;Other Technical Textiles
68;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
69;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
70;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
71;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
72;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
73;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
74;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
75;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
76;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
77;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
